Title,Author
Wuthering Heights,Emily Brontë
Agnes Grey,Anne Brontë
David Copperfield,Charles Dickens
The Moon Pool,A. Merritt
The Round-up,John Murray and Marion Mills Miller
"British Airships, Past, Present, and Future",George Whale
A. V. Laider,Max Beerbohm
Enoch Soames,Max Beerbohm
James Pethel,Max Beerbohm
"LandSat Picture of Washington, D.C.",the United States
50 Bab Ballads,William. S. Gilbert
Arizona Sketches,Joseph A. Munk
A Lady's Life in the Rocky Mountains,Isabella L. Bird
The Story of Mankind,Hendrik van Loon
Arizona Nights,Stewart Edward White
A Young Girl's Diary,An Anonymous Young Girl
High History of the Holy Graal,Unknown
Barlaam and Ioasaph,St. John of Damascus
The Brother of Daphne,Dornford Yates
Anomalies and Curiosities of Medicine,George M. Gould
Burning Daylight,Jack London
One divided by Pi (to 1 million digits),Yasumasa Kanada
The Golden Mean,Jerry Bonnell and Robert Nemiroff
"Thoughts on Man, His Nature, etc",William Godwin
Editorials from the Hearst Newspapers,Arthur Brisbane
Expunging Resolution,Thomas Hart Benton
"February 22, 1839",John C. Calhoun
The Puzzle of Dickens's Last Plot,Andrew Lang
The Bobbsey Twins at School,Laura Lee Hope
Oliver Twist,Charles Dickens
"Hackers, Heroes of the Computer Revolution",Stephen Levy
Emile Zola,William Dean Howells
The Star-Spangled Banner,John A. Carpenter
Men of Invention and Industry,Samuel Smiles
The Man of Letters as a Man of Business,William Dean Howells
"Henry James, Jr.",William Dean Howells
James Otis The Pre-Revolutionist,J. C. Ridpath
The Birds' Christmas Carol,Kate Douglas Wiggin
Almayer's Folly,Joseph Conrad
Tono Bungay,H. G. Wells
Chita: A Memory of Last Island,Lafcadio Hearn
The Cruise of the Jasper B.,Don Marquis
The Moon Endureth--Tales and Fancies,John Buchan
The Bobbsey Twins in the Country,Laura Lee Hope
"Memoirs of Extraordinary Popular Delusions, Vol. 2",Charles Mackay
Thomas Jefferson,Edward S. Ellis
Allan Quatermain,H. Rider Haggard
Love of Life,Jack London
The Princess and the Curdie,George MacDonald
The Princess and the Goblin,George MacDonald
Raffles,E. W. Hornung
